timestamp,sensorId,kalmanMs,differentiatorMs,dspPipelineMs,totalMs
2026-01-14T10:38:37.565Z,010-20081219114010,0.166,0.001,0.074,0.242
2026-01-14T10:38:49.542Z,010-20081219114010,0.164,0.001,0.074,0.240
2026-01-14T10:39:01.530Z,010-20081219114010,0.169,0.001,0.078,0.248
2026-01-14T10:39:13.617Z,010-20081219114010,0.156,0.001,0.070,0.227
2026-01-14T10:39:25.590Z,010-20081219114010,0.161,0.001,0.072,0.235
2026-01-14T10:39:37.592Z,010-20081219114010,0.164,0.001,0.072,0.238
2026-01-14T10:39:49.583Z,010-20081219114010,0.159,0.001,0.073,0.234
2026-01-14T10:40:01.645Z,010-20081219114010,0.186,0.001,0.085,0.272
2026-01-14T10:40:13.656Z,010-20081219114010,0.170,0.001,0.075,0.247
2026-01-14T10:40:25.643Z,010-20081219114010,0.163,0.001,0.072,0.236
2026-01-14T10:40:37.662Z,010-20081219114010,0.164,0.001,0.073,0.239
2026-01-14T10:40:49.627Z,010-20081219114010,0.160,0.001,0.072,0.233
2026-01-14T10:41:01.714Z,010-20081219114010,0.165,0.001,0.074,0.241
2026-01-14T10:41:13.707Z,010-20081219114010,0.156,0.001,0.071,0.228
2026-01-14T10:41:25.707Z,010-20081219114010,0.160,0.001,0.071,0.232
2026-01-14T10:41:37.721Z,010-20081219114010,0.162,0.001,0.072,0.236
2026-01-14T10:41:49.694Z,010-20081219114010,0.160,0.001,0.070,0.231
2026-01-14T10:42:01.715Z,010-20081219114010,0.163,0.001,0.073,0.238
2026-01-14T10:42:13.679Z,010-20081219114010,0.160,0.001,0.075,0.237
2026-01-14T10:42:25.655Z,010-20081219114010,0.162,0.001,0.071,0.235
2026-01-14T10:42:37.661Z,010-20081219114010,0.163,0.001,0.072,0.237
2026-01-14T10:42:49.726Z,010-20081219114010,0.161,0.001,0.072,0.235
2026-01-14T10:43:01.722Z,010-20081219114010,0.163,0.001,0.073,0.238
2026-01-14T10:43:13.695Z,010-20081219114010,0.158,0.001,0.070,0.230
2026-01-14T10:43:25.687Z,010-20081219114010,0.161,0.001,0.071,0.234
2026-01-14T10:43:37.681Z,010-20081219114010,0.164,0.001,0.073,0.239
2026-01-14T10:43:49.659Z,010-20081219114010,0.161,0.001,0.070,0.233
2026-01-14T10:44:01.665Z,010-20081219114010,0.165,0.001,0.074,0.241
2026-01-14T10:44:13.650Z,010-20081219114010,0.160,0.001,0.071,0.232
2026-01-14T10:44:25.643Z,010-20081219114010,0.167,0.001,0.074,0.243
2026-01-14T10:44:37.759Z,010-20081219114010,0.167,0.001,0.074,0.243
2026-01-14T10:44:49.733Z,010-20081219114010,0.161,0.001,0.071,0.233
2026-01-14T10:45:01.739Z,010-20081219114010,0.169,0.001,0.077,0.247
2026-01-14T10:45:13.724Z,010-20081219114010,0.161,0.001,0.070,0.233
2026-01-14T10:45:25.745Z,010-20081219114010,0.162,0.001,0.072,0.235
2026-01-14T10:45:37.754Z,010-20081219114010,0.164,0.001,0.073,0.239
2026-01-14T10:45:49.722Z,010-20081219114010,0.159,0.001,0.071,0.231
2026-01-14T10:46:01.725Z,010-20081219114010,0.166,0.001,0.075,0.243
2026-01-14T10:46:13.697Z,010-20081219114010,0.158,0.001,0.069,0.229
2026-01-14T10:46:25.757Z,010-20081219114010,0.162,0.001,0.073,0.236
2026-01-14T10:46:37.760Z,010-20081219114010,0.169,0.001,0.074,0.245
2026-01-14T10:46:49.754Z,010-20081219114010,0.159,0.001,0.070,0.231
2026-01-14T10:47:01.732Z,010-20081219114010,0.174,0.001,0.072,0.247
2026-01-14T10:47:13.705Z,010-20081219114010,0.162,0.001,0.071,0.234
2026-01-14T10:47:25.712Z,010-20081219114010,0.160,0.001,0.071,0.233
2026-01-14T10:47:37.727Z,010-20081219114010,0.168,0.001,0.079,0.249
2026-01-14T10:47:49.731Z,010-20081219114010,0.161,0.001,0.075,0.238
2026-01-14T10:48:01.742Z,010-20081219114010,0.165,0.001,0.078,0.244
2026-01-14T10:48:13.796Z,010-20081219114010,0.161,0.001,0.071,0.234
2026-01-14T10:48:25.782Z,010-20081219114010,0.159,0.001,0.073,0.234
2026-01-14T10:48:37.802Z,010-20081219114010,0.168,0.001,0.076,0.247
2026-01-14T10:48:49.816Z,010-20081219114010,0.172,0.001,0.093,0.267
2026-01-14T10:49:01.848Z,010-20081219114010,0.187,0.001,0.083,0.272
2026-01-14T10:49:13.899Z,010-20081219114010,0.191,0.001,0.085,0.278
2026-01-14T10:49:25.865Z,010-20081219114010,0.163,0.001,0.072,0.236
2026-01-14T10:49:37.875Z,010-20081219114010,0.171,0.001,0.077,0.250
2026-01-14T10:49:49.884Z,010-20081219114010,0.164,0.001,0.073,0.239
2026-01-14T10:50:01.994Z,010-20081219114010,0.191,0.001,0.098,0.291
2026-01-14T10:50:13.963Z,010-20081219114010,0.162,0.001,0.078,0.242
2026-01-14T10:50:25.947Z,010-20081219114010,0.164,0.001,0.074,0.240
2026-01-14T10:50:37.951Z,010-20081219114010,0.166,0.001,0.075,0.243
2026-01-14T10:50:49.937Z,010-20081219114010,0.165,0.001,0.072,0.240
